instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.469437200001266,None,space,0.8428422999986651,18.469437200001266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,19.374661600000763,None,c,0.88169519999974,19.374661600000763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,20.277658500001053,None,b,0.23086510000030103,20.277658500001053,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.527755299999626,None,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,30,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,26.749378204770803,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,43.978735483254766,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,39.58178991179243,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,36.13468969949244,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,33.411456468225836,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,31.252399311108967,1,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,29.72763565687062,0,,1,Short,Simultaneous,0.8912509381337447,2020_Nov_02_1511,toneDetectionPlatform_V1.6,2020.2.4,59.906497938487966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,9,8,start,4,lin,33.10025026468777,1,,,,,,,,,,
